"Reference code","Product ID","Product name","Product Combinations ID","Combinations (Attribute - value pair)","Quantity","Final price (pre-tax)","Pre-tax wholesale price","Combinations wholesale price"
"A01030-7","14","Card - Eagle Moon","","Carte - Lune de l'Aigle","24","5.5","2.5","0"
"A01028-POD2555","17","Card - Giving Thanks","","Carte - Rendre Grâce","16","6.35","2.75","0"
"A01031-7","20","Card - Honoring the Giver of Life","","Carte - Hommage à la Source de Vie","49","5.5","2.5","0"
"A01032-7","23","Card - Moon Wisdom","","Carte - Sagesse de la Lune","71","5.5","2.5","0"
"A01036-7","30","Card - Teachings","","Carte - Le Chant du Tambour","32","5.5","2.5","0"
"A01035-7","34","Card - Strength Within","","Carte - La force Intérieur","52","5.5","2.5","0"
"A01034-POD2570","35","Card - Reaching Out","","Carte - Chaleur de Terre","10","6.35","2.75","0"
"A01037-7","40","Card - Trust","","Carte - La Confiance","35","5.5","2.5","0"
"A08011-7","44","Card - Whisper","","Carte - Murmure","107","5.5","2.5","0"
"A08007-POD2548","47","Card - A Moose and Goose","","Carte - Un Orignal et une Outarde","15","6.35","2.75","0"
"A10012-POD2565","51","Card - Sky Sisters","","Carte - Nos Soeurs du Ciel","11","6.35","2.75","0"
"A10004-7","54","Card - Merging Earth and Sky","","Carte - Fusion Entre Terre et Ciel","32","5.5","2.5","0"
"A10046-7","58","Card - Geese Spirit","","Carte - L'Esprit de l'Outarde","25","5.5","2.5","0"
"A08013-POD2584","61","Card - New Day","","Carte - Nouveau Jour","9","6.35","2.75","0"
"A08045-20084","64","Card - Patience","","Carte - Patience","12","6.35","2.75","0"
"A01029-POD2882","67","Card - Birth of Eagle Shadow","","Carte - Naissance de l'Ombre de l'Aigle","9","6.35","2.75","0"
"A08019-POD2886","70","Card - Unity","","Carte - Union","5","6.35","2.75","0"
"A09006-POD2579","73","Card - River Keeper","","Carte - La Gardienne de l'Eau","7","6.35","2.75","0"
"A04015-20085","76","Card - Rebirth","","Carte - Renaissance","4","6.35","2.75","0"
"A04039-7","79","Card - Nostalgia","","Carte - Nostalgia","2","5.5","2.5","0"
"W13025-POD2569","85","Card - Passage","","Carte - Passage","14","6.35","2.75","0"
"W12024-20076","88","Card - Breath of Life","","Carte - Souffle de Vie","8","6.35","2.75","0"
"W12008-POD2581","95","Card - Winter Wolves","","Carte - Loups d'Hiver","14","6.35","2.75","0"
"W12014-7","101","Card - Gate of Silk","","Carte - Portail de Soie","1","5.5","2.5","0"
"W12005-POD2552","104","Card - Earth Keeper","","Carte - Gardienne de la Terre","11","6.35","2.75","0"
